Year,Rank,Title,Studio,Worldwide,Domestic,Overseas,Category,Link
2014,32,Annabelle,WB (NL),257.0,84.3,172.8,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=newlinehorror.htm
2014,33,Hercules (2014),Par.,244.8,72.7,172.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=hercules2014.htm
2014,34,RoboCop (2014),Sony,242.7,58.6,184.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=robocop2013.htm
2014,35,The Imitation Game,Wein.,233.6,91.1,142.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=imitationgame.htm
2014,36,Non-Stop,Uni.,222.8,92.2,130.6,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=nonstop.htm
2014,37,Dracula Untold,Uni.,217.1,56.3,160.8,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=dracula.htm
2014,38,The Expendables 3,LGF,214.7,39.3,175.3,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=expendables3.htm
2014,39,Into the Woods,BV,213.1,128.0,85.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=intothewoods.htm
2014,40,Fury (2014),Sony,211.8,85.8,126.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=fury2014.htm
2014,41,Journey to the West,Magn.,205.6,0.2,205.6,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=journeytothewest.htm
2014,42,Need for Speed,BV,203.3,43.6,159.7,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=needforspeed.htm
2014,43,The Other Woman (2014),Fox,196.7,83.9,112.8,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=otherwoman14.htm
2014,44,The Equalizer,Sony,192.3,101.5,90.8,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=equalizer.htm
2014,45,Breakup Buddies,CL,189.0,7.8,188.2,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=breakupbuddies.htm
2014,46,The Grand Budapest Hotel,FoxS,174.8,59.3,115.5,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=grandbudapesthotel.htm
2014,47,Dumb and Dumber To,Uni.,169.8,86.2,83.6,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=dumberto.htm
2014,48,Unbroken,Uni.,163.4,115.6,47.8,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=unbroken.htm
2014,49,Into The Storm,WB (NL),161.7,47.6,114.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=intothestorm.htm
2014,50,The Monuments Men,Sony,155.0,78.0,77.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=monumentsmen.htm
2014,51,Ride Along,Uni.,154.5,134.9,19.5,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=rpage=intl&country=CH&idealong.htm
2014,52,Planes: Fire  Rescue,BV,151.4,59.2,92.2,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=planes2.htm
